,truth,"('num_occur', 'index', 0)","('num_occur', 'score', 0)","('num_occur', 'index', 1)","('num_occur', 'score', 1)","('num_occur', 'index', 2)","('num_occur', 'score', 2)","('num_occur', 'index', 3)","('num_occur', 'score', 3)","('num_occur', 'index', 4)","('num_occur', 'score', 4)","('percentage_of_terms', 'index', 0)","('percentage_of_terms', 'score', 0)","('percentage_of_terms', 'index', 1)","('percentage_of_terms', 'score', 1)","('percentage_of_terms', 'index', 2)","('percentage_of_terms', 'score', 2)","('percentage_of_terms', 'index', 3)","('percentage_of_terms', 'score', 3)","('percentage_of_terms', 'index', 4)","('percentage_of_terms', 'score', 4)","('td-idf', 'index', 0)","('td-idf', 'score', 0)","('td-idf', 'index', 1)","('td-idf', 'score', 1)","('td-idf', 'index', 2)","('td-idf', 'score', 2)","('td-idf', 'index', 3)","('td-idf', 'score', 3)","('td-idf', 'index', 4)","('td-idf', 'score', 4)","('word_order', 'index', 0)","('word_order', 'score', 0)","('word_order', 'index', 1)","('word_order', 'score', 1)","('word_order', 'index', 2)","('word_order', 'score', 2)","('word_order', 'index', 3)","('word_order', 'score', 3)","('word_order', 'index', 4)","('word_order', 'score', 4)"
0,22,22,36,3,23,24,21,0.0,20.0,2.0,20.0,2,0.5,8,0.5,10,0.5,11.0,0.5,14.0,0.5,22,0.03129353076671049,3,0.010630603381613828,27,0.006715496253858351,6.0,0.004707770569715133,0.0,0.004411479731999321,22,69,24.0,8.0,18.0,6.0,7.0,3.0,3.0,2.0
1,22,22,36,3,23,24,21,0.0,20.0,2.0,20.0,2,0.5,8,0.5,10,0.5,11.0,0.5,14.0,0.5,22,0.03129353076671049,3,0.010630603381613828,27,0.006715496253858351,6.0,0.004707770569715133,0.0,0.004411479731999321,22,69,24.0,8.0,18.0,6.0,7.0,3.0,3.0,2.0
2,22,22,36,3,23,24,21,0.0,20.0,2.0,20.0,2,0.5,8,0.5,10,0.5,11.0,0.5,14.0,0.5,22,0.03129353076671049,3,0.010630603381613828,27,0.006715496253858351,6.0,0.004707770569715133,0.0,0.004411479731999321,22,69,24.0,8.0,18.0,6.0,7.0,3.0,3.0,2.0
0,23,28,5,2,4,19,2,20.0,2.0,12.0,2.0,23,1.0,0,0.5,2,0.5,20.0,0.5,5.0,0.25,28,0.008661892586790022,23,0.002014618911939736,20,0.0015228791997852278,12.0,0.0008186439400888373,2.0,0.0007662599046884774,23,3,0.0,0.0,2.0,0.0,20.0,0.0,,
1,23,28,5,2,4,19,2,20.0,2.0,12.0,2.0,23,1.0,0,0.5,2,0.5,20.0,0.5,5.0,0.25,28,0.008661892586790022,23,0.002014618911939736,20,0.0015228791997852278,12.0,0.0008186439400888373,2.0,0.0007662599046884774,23,3,0.0,0.0,2.0,0.0,20.0,0.0,,
2,23,28,5,2,4,19,2,20.0,2.0,12.0,2.0,23,1.0,0,0.5,2,0.5,20.0,0.5,5.0,0.25,28,0.008661892586790022,23,0.002014618911939736,20,0.0015228791997852278,12.0,0.0008186439400888373,2.0,0.0007662599046884774,23,3,0.0,0.0,2.0,0.0,20.0,0.0,,
0,24,26,411,2,407,5,248,19.0,179.0,7.0,151.0,0,1.0,11,1.0,14,1.0,19.0,1.0,24.0,1.0,26,0.03764327224321706,30,0.028801485666251774,2,0.028523542715727684,18.0,0.025696028052242383,9.0,0.02159138344631725,2,260,12.0,103.0,19.0,57.0,30.0,56.0,9.0,49.0
1,24,26,411,2,407,5,248,19.0,179.0,7.0,151.0,0,1.0,11,1.0,14,1.0,19.0,1.0,24.0,1.0,26,0.03764327224321706,30,0.028801485666251774,2,0.028523542715727684,18.0,0.025696028052242383,9.0,0.02159138344631725,2,260,12.0,103.0,19.0,57.0,30.0,56.0,9.0,49.0
2,24,26,411,2,407,5,248,19.0,179.0,7.0,151.0,0,1.0,11,1.0,14,1.0,19.0,1.0,24.0,1.0,26,0.03764327224321706,30,0.028801485666251774,2,0.028523542715727684,18.0,0.025696028052242383,9.0,0.02159138344631725,2,260,12.0,103.0,19.0,57.0,30.0,56.0,9.0,49.0
0,25,5,304,7,103,29,77,13.0,74.0,28.0,69.0,0,1.0,2,1.0,9,1.0,10.0,1.0,11.0,1.0,25,0.0040802734903149515,10,0.0038475777523602566,18,0.0026774009534526245,22.0,0.002222106882687838,26.0,0.0017368581494166192,26,302,19.0,21.0,25.0,21.0,0.0,18.0,2.0,17.0
